"ImageNumber","FileName_colorimage","AreaShape_Area","AreaShape_HuMoment_2","AreaShape_InertiaTensor_0_0","AreaShape_Solidity","Intensity_IntegratedIntensity_DNA","Intensity_IntegratedIntensity_H2AX","Intensity_MADIntensity_DNA","Intensity_MassDisplacement_DNA","Intensity_MassDisplacement_H2AX","Intensity_MassDisplacement_Ki67","Intensity_MaxIntensity_H2AX","Intensity_MinIntensityEdge_DNA","Intensity_MinIntensityEdge_H2AX","Intensity_MinIntensity_Ki67","Intensity_StdIntensityEdge_DNA","Intensity_StdIntensityEdge_Ki67","Intensity_StdIntensity_Ki67"
73,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2215.png",600,1.22e-05,45.30012222,0.96,135.2078467,31.8862757,0.082352951,0.581763638,0.183139585,0.11040067,0.101960786,0,0,0,0,0,0.03059142
74,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2216.png",944,6.21e-05,105.4365652,0.968205128,199.317653,55.92157061,0.062745094,0.611697528,0.244845604,1.677268872,0.109803922,0,0,0,0,0,0.076253918
75,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2217.png",963,1.27e-05,96.70123759,0.975683891,219.6745159,65.152943,0.066666678,0.380219301,0.472674387,1.113323515,0.168627456,0,0,0,0,0,0.048416745
76,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2226.png",811,2.1e-05,58.5808846,0.96778043,167.1529464,37.13333452,0.058823541,0.241476807,0.249339428,1.220168455,0.082352944,0,0,0,0,0,0.053847567
77,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2240.png",941,0.000190248,48.80279532,0.964139344,204.741183,64.43529566,0.054901972,0.291081782,0.424209209,0.75279702,0.149019614,0,0,0,0,0,0.058419069
78,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2242.png",802,2.29e-05,47.06458915,0.972121212,133.4901992,47.23137414,0.039215684,0.480672146,0.361022179,0.678782766,0.113725491,0,0,0,0,0,0.039690561
79,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2244.png",588,2.61e-05,54.91478088,0.973509934,116.4039257,27.68627569,0.047058821,0.175412267,0.096345917,1.015203423,0.086274512,0,0,0,0,0,0.09754318
80,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2271.png",1070,0.000130763,97.01815006,0.974499089,155.8274544,52.90588401,0.035294116,0.349423059,0.921933474,0.546911345,0.113725491,0,0,0,0,0,0.140762742
81,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_228.png",847,4.16e-06,101.2728834,0.963594994,148.9882401,34.76078531,0.050980389,0.1111287,0.61050412,0.637253646,0.090196081,0,0,0,0,0,0.071726934
82,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2281.png",891,5.64e-06,58.86860625,0.96742671,143.9803965,30.62745182,0.058823526,0.383485993,0.209582645,1.060590865,0.105882354,0,0,0,0,0,0.103951313
83,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2286.png",1094,3.18e-05,65.39401639,0.968141593,202.823536,37.08235397,0.066666663,0.333465919,0.263216028,0.266656571,0.070588239,0,0,0,0,0,0.05089053
84,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2290.png",690,1.7e-05,49.12925016,0.957004161,106.7176502,24.4470594,0.066666663,0.121621135,0.195685927,0.881657484,0.070588239,0,0,0,0,0,0.157912659
85,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2301.png",619,0.00017903,44.27785187,0.958204334,78.86274701,15.75686342,0.043137252,0.318482637,0.214371801,0.354142591,0.050980393,0,0,0,0,0,0.032661788
86,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2303.png",756,0.000106042,42.32986723,0.948557089,126.7058858,22.9019615,0.054901958,0.215546486,0.334489526,1.209257042,0.054901961,0,0,0,0,0,0.126676019
87,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2305.png",663,9.01e-05,81.66465333,0.959479016,91.32157071,16.67058898,0.058823526,0.080511793,0.073017595,0.773799522,0.043137256,0,0,0,0,0,0.031734754
88,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2307.png",1036,0.000105013,122.1244838,0.961038961,188.5137313,29.15686398,0.058823526,0.135056767,0.238763392,0.670519332,0.050980393,0,0,0,0,0,0.044081811
89,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2316.png",976,6.31e-05,117.9440675,0.977955912,137.6000029,24.6156874,0.043137252,0.101884862,0.127345895,0.405990181,0.043137256,0,0,0,0,0,0.044115923
90,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2319.png",612,2.16e-05,46.90089282,0.960753532,67.60000209,14.53725556,0.031372547,0.50020561,0.102577447,1.176549936,0.043137256,0,0,0,0,0,0.040233866
91,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_232.png",830,3.02e-06,69.62162288,0.971896956,131.8941205,27.71764778,0.047058821,0.268001284,0.236639981,1.019265137,0.086274512,0,0,0,0,0,0.104385872
92,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2325.png",590,0.000518572,40.10371732,0.95623987,66.10196269,14.43921631,0.035294123,0.315631155,0.243532941,0.419006211,0.047058824,0,0,0,0,0,0.027867388
93,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2327.png",985,2.49e-05,100.1496148,0.976214073,126.8274543,24.09804033,0.031372547,0.171874692,0.091514526,1.911533257,0.043137256,0,0,0,0,0,0.104514979
94,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2329.png",1124,9.57e-06,77.5376982,0.970639033,169.6509843,37.35686388,0.047058821,0.979977114,0.507068684,1.662469194,0.06666667,0,0,0,0,0,0.061225552
95,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1126.png",965,9.02e-05,102.8397154,0.968875502,280.4353001,123.7686304,0.09803921,0.137363468,0.722784624,1.167405307,0.36470589,0,0,0,0,0,0.150816572
96,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_113.png",817,0.000167465,75.04996786,0.966863905,219.8941231,68.80000136,0.082352951,0.471802186,0.056383614,0.906034132,0.152941182,0,0,0,0,0,0.059044062
97,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_115.png",1216,1.74e-05,79.22671331,0.974358974,400.0823613,325.8117716,0.090196073,0.561189365,0.564033163,1.331126876,0.698039234,0,0,0,0,0,0.105901424
98,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1150.png",882,0.000113404,128.231119,0.956616052,236.9529474,61.16862879,0.086274505,1.533813481,0.343778328,0.134484269,0.129411772,0,0,0,0,0,0.02243889
99,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1152.png",998,8.28e-05,88.76305416,0.972709552,296.2196145,80.97647188,0.086274505,0.556852469,0.097126037,1.144568355,0.176470593,0,0,0,0,0,0.039055076
100,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_116.png",971,4.04e-05,82.0702006,0.97002997,287.9647122,75.94509932,0.090196073,0.585493936,0.067702928,0.408452446,0.13333334,0,0,0,0,0,0.041948318
101,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1161.png",856,3.93e-05,60.51677958,0.970521542,232.2000051,61.52549146,0.074509799,0.149946578,0.187129668,0.402617197,0.129411772,0,0,0,0,0,0.043595279
102,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1164.png",898,7.98e-07,91.65912867,0.971861472,278.4509864,129.0470619,0.109803915,0.253914964,0.446836991,0.912610251,0.34117648,0,0,0,0,0,0.11746744
103,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1165.png",1004,4.02e-06,79.54457072,0.972868217,272.156869,114.0431409,0.066666663,0.464083059,0.400671058,0.624802909,0.243137255,0,0,0,0,0,0.112507494
104,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1171.png",640,9.73e-05,36.73964844,0.96969697,203.0313777,45.39607926,0.113725483,0.237301366,0.246313215,0.419898594,0.125490203,0,0,0,0,0,0.023172422
105,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1185.png",1010,1.52e-05,70.44324674,0.973963356,329.4862817,101.0352972,0.082352936,0.41643818,0.449943385,1.362865691,0.203921571,0,0,0,0,0,0.056705354
106,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1186.png",975,0.000398197,75.45396345,0.933908046,278.0666728,75.29019742,0.078431368,0.09126841,0.124137195,0.252518782,0.254901975,0,0,0,0,0,0.028189192
107,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_1188.png",950,3.58e-05,75.73883213,0.966429298,304.6313792,159.3529457,0.09803921,0.280438555,1.055768257,2.871571492,0.447058827,0,0,0,0,0,0.150908295
108,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0000_W1 - UV_FilterNuclei_120.png",723,7.33e-05,42.13066044,0.971774194,191.3803963,53.22353027,0.074509799,0.727242129,0.122773786,0.828780802,0.129411772,0,0,0,0,0,0.036117109
109,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_686.png",1022,8.27e-07,61.63758181,0.963242224,249.2274577,76.98039398,0.070588231,0.072546077,0.450654272,1.266922723,0.172549024,0,0,0,0,0,0.18971115
110,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_687.png",949,3.99e-05,81.69949178,0.966395112,235.9607901,94.14117941,0.078431368,0.366759114,0.616834379,0.764470885,0.219607845,0,0,0,0,0,0.093851374
111,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_689.png",976,6.99e-05,70.39700244,0.968253968,248.6666729,38.83529487,0.066666663,0.11016877,0.521298428,0.490985323,0.121568628,0,0,0,0,0,0.024406986
112,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_69.png",2871,5.18e-05,290.0800743,0.947212141,785.9372831,212.4902009,0.027450979,0.29656683,6.069685953,8.680203006,0.282352954,0,0,0,0.047527315,0.029710515,0.06992989
113,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_692.png",1267,2.69e-05,115.2618114,0.961305008,312.247068,77.6509828,0.058823541,0.616380896,0.722125743,1.022024646,0.121568628,0,0,0,0,0,0.065806333
114,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_693.png",743,0.000106164,43.23791185,0.964935065,149.325495,30.81568693,0.060784325,0.340032788,0.20664899,0.825097043,0.074509807,0,0,0,0,0,0.065666879
115,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_699.png",1363,0.000136378,147.3783899,0.963250883,354.9254968,70.69019836,0.125490203,2.046303893,0.264662321,1.096452568,0.117647059,0,0,0,0,0,0.0468096
116,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_703.png",825,3.43e-05,90.03809146,0.967174678,174.3098092,52.95294246,0.074509814,0.33710681,0.62525328,1.640666508,0.149019614,0,0,0,0,0,0.129139483
117,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_705.png",825,0.000125646,64.15092893,0.970588235,213.1333382,57.64313867,0.074509799,0.376827288,1.095966279,0.578176056,0.243137255,0,0,0,0,0,0.14112533
118,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_709.png",914,0.000257672,62.46387222,0.957068063,205.2509863,57.90588404,0.066666678,0.526599584,0.805237133,1.393140588,0.145098045,0,0,0,0,0,0.115074423
119,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_712.png",959,0.00041495,88.77484041,0.968686869,221.3725557,64.14902121,0.054901958,0.083060056,0.742657252,0.579579067,0.152941182,0,0,0,0,0,0.068140741
120,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_718.png",754,0.000138654,52.39067502,0.969151671,156.3490243,38.03529554,0.070588246,0.144131475,0.173938555,0.531847876,0.098039217,0,0,0,0,0,0.110172115
121,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_722.png",735,2.19e-05,63.00755056,0.974801061,133.8156904,31.91372634,0.054901972,0.18041662,0.092340429,0.524692067,0.078431375,0,0,0,0,0,0.122859468
122,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_728.png",947,0.000321507,52.97999686,0.957532861,192.8392221,50.32157037,0.054901958,0.377557992,0.541269605,1.555147193,0.109803922,0,0,0,0,0,0.089429791
123,"Plate616215_WellC04_yH2AX_KI67_Seq0001_C04_0003_W1 - UV_FilterNuclei_73.png",1052,7.09e-05,97.01166979,0.973172988,253.9607922,43.36862824,0.050980404,0.506338304,0.267097116,0.843419519,0.074509807,0,0,0,0,0,0.024969514
124,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_32.png",1540,8.8e-06,163.2451556,0.97715736,246.250986,93.71765091,0.043137252,0.244389782,0.133307361,0.328250015,0.105882354,0,0,0,0,0,0.025314225
125,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_34.png",1846,7.13e-05,120.1250659,0.981914894,198.2627518,114.803926,0.019607842,0.409070141,0.221134409,1.707564551,0.101960786,0,0,0,0,0,0.037989111
126,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_35.png",1871,5.83e-06,176.0106883,0.97651357,239.0078501,132.1764745,0.027450979,0.609718643,0.553433435,0.65387362,0.149019614,0,0,0,0,0,0.058536377
127,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_36.png",1626,4.41e-05,102.4484764,0.981884058,138.9098065,87.49412164,0.011764705,0.327422994,0.169941584,1.191541304,0.086274512,0,0,0,0,0,0.031160595
128,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_38.png",2202,1.24e-06,193.2417289,0.983035714,252.7019701,127.698045,0.015686281,0.528216669,0.088028342,0.344084193,0.090196081,0,0,0,0,0,0.011283605
129,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_4.png",1320,2.63e-05,133.4205028,0.974169742,281.4000074,94.25882758,0.03529413,0.537017442,0.095779111,0.699909206,0.094117649,0.078431375,0.05882353,0.023529412,0.014894604,0.00400645,0.01813206
130,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_40.png",2075,1.59e-06,173.1396952,0.978773585,289.0745169,132.9372601,0.031372547,0.51669298,0.043694854,0.685988098,0.105882354,0,0,0,0,0,0.062121418
131,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_41.png",2277,0.000852673,179.0404038,0.958333333,189.737258,128.2196139,0.007843137,0.165837159,0.167334496,0.232458406,0.086274512,0,0,0,0,0,0.011040641
132,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_45.png",1998,1.69e-05,173.7295877,0.982784063,216.2235368,131.3647104,0.019607842,0.36713753,0.434321507,1.521763584,0.105882354,0,0,0,0,0,0.04657199
133,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_46.png",2445,2.55e-05,204.5844589,0.978391357,368.9137341,159.619614,0.02352941,0.164205293,0.174356017,0.691979916,0.117647059,0,0,0,0,0,0.01926537
134,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_47.png",2002,2.37e-05,156.3862114,0.979931473,521.2235456,204.4039265,0.047058836,1.060422136,0.856141778,2.582447097,0.203921571,0,0,0,0.018880315,0.032626568,0.102456716
135,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_48.png",1757,6.29e-06,209.7879645,0.98046875,183.0235348,97.28235745,0.019607849,0.678229196,0.055862844,0.797517612,0.086274512,0,0,0,0,0,0.026783615
136,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_5.png",1073,1.07e-05,96.56998651,0.971040724,239.9960858,79.247062,0.054901972,0.219442336,0.3596326,0.404522952,0.105882354,0.078431375,0.054901961,0.031372551,0.01735574,0.011794843,0.099422832
137,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_50.png",1770,1.43e-05,158.23404,0.977360574,298.6392221,106.8627496,0.039215684,0.470280252,0.2117897,0.650367695,0.098039217,0,0,0,0,0,0.046081513
138,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_51.png",2085,2.92e-05,176.1627029,0.979793233,322.1490261,133.7960836,0.027450979,0.169936939,0.046788569,0.056375273,0.101960786,0,0,0,0,0,0.010276785
139,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_52.png",2325,7.8e-06,204.9837345,0.983086681,370.8627525,150.1490255,0.027450979,0.58391866,0.048844922,0.127412741,0.105882354,0,0,0,0,0,0.011432187
140,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_53.png",2207,3.7e-06,207.8910687,0.984828202,246.7411853,126.6274569,0.019607842,0.163095518,0.019746115,0.035120235,0.086274512,0,0,0,0,0,0.010813729
141,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_54.png",1563,2.46e-06,145.282108,0.983018868,163.6392208,86.0980432,0.023529414,0.461040991,0.149916524,1.277693964,0.086274512,0,0,0,0,0,0.024176238
142,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_56.png",2273,9.46e-06,165.0160748,0.981857451,181.0705917,128.537261,0.007843137,0.174987647,0.076190015,0.046030879,0.082352944,0,0,0,0,0,0.010368656
143,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_58.png",2484,0.000160134,199.2061133,0.978723404,352.8156954,147.8196146,0.031372547,1.090549626,0.238417999,0.680303449,0.094117649,0,0,0,0,0,0.014677137
144,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_59.png",1921,4.14e-05,152.5837104,0.979602244,301.0078495,120.0274559,0.031372547,0.353093151,0.207643494,1.082357847,0.101960786,0,0,0,0,0,0.047751707
145,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_6.png",1753,3.22e-05,160.5961772,0.973888889,313.0274577,129.792162,0.02352941,0.240287959,0.040647675,0.971591955,0.105882354,0,0,0,0.039752646,0.009398718,0.022128239
146,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_61.png",1844,6.57e-06,107.6649163,0.980851064,133.9058857,95.26274894,0.007843137,0.196213623,0.065314331,0.083989117,0.082352944,0,0,0,0,0,0.010728568
147,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_63.png",2404,2.94e-05,240.8818973,0.983633388,239.0039278,139.1725555,0.011764713,0.303749394,0.093642623,0.099378223,0.090196081,0,0,0,0,0,0.010516972
148,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_64.png",1985,5.59e-06,129.286259,0.980731225,219.5803993,112.7254952,0.019607849,0.755892956,0.128643107,0.634568443,0.094117649,0,0,0,0,0,0.027468705
149,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_65.png",2367,3.22e-06,147.8697201,0.981750311,247.3411841,132.7019668,0.015686281,0.749097878,0.210909701,0.138790079,0.082352944,0,0,0,0,0,0.010875348
150,"PlateGILA1_WellC05_yH2AX_KI67_Seq0002_C05_0001_W1 - UV_FilterNuclei_66.png",2156,3.48e-06,141.8688012,0.981785064,193.3725523,120.5568684,0.011764705,0.245526833,0.058709423,0.279611646,0.086274512,0,0,0,0,0,0.011679245
